company_name,website_url,label,website_alive,valid_website,has_about,has_contact,subdomain_count,domain_length,content_length,scam_score,has_https,domain_age_days,has_privacy_policy,has_terms,has_payment_risk,has_urgency_language,content_score,is_registered,review_score,review_count,has_glassdoor,has_indeed,has_trustpilot,has_negative_reviews,has_positive_reviews,email_type_encoded,has_suspicious_tld,is_http_only,trust_score,suspicion_score
ABANS ELECTRICALS PLC,https://abansgroup.com,1,1,1,1,1,1,14,1628,0,1,60.0,0,0,1,1,0.0,1,0.5,0,0,0,0,0,0,1,0,0,5,0
ABANS FINANCE PLC,https://abansfinance.lk,1,1,1,1,1,1,15,2517,0,1,60.0,0,0,0,0,1.08,1,0.23,5,0,0,0,1,0,2,0,0,5,1
ACCESS ENGINEERING PLC,,1,0,0,1,1,3,15,9872,0,0,60.0,0,0,0,0,0.0,0,0.21,20,1,0,0,1,0,1,0,1,3,2
ACL CABLES PLC,https://www.acl.lk,1,1,1,0,1,2,10,28226,0,1,60.0,0,1,0,0,21.87,1,0.5,15,0,0,0,0,0,2,0,0,5,0
ACL PLASTICS PLC,https://acl.lk,1,0,1,0,1,1,6,28226,0,1,60.0,0,1,0,0,21.87,1,0.75,10,0,0,0,0,0,2,0,0,5,0
ACME PRINTING & PACKAGING PLC,,1,0,0,0,0,3,27,49,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,0,1
AGALAWATTE  PLANTATIONS  PLC,https://agalawatte.com,1,1,1,0,1,1,14,1996,0,1,60.0,0,0,0,0,7.77,1,0.05,10,0,0,0,1,1,1,0,0,5,1
Agarapatana Plantations PLC,https://lankemplantations.lk,1,1,1,0,1,1,20,2365,0,1,60.0,0,0,1,0,24.71,1,0.45,10,0,0,0,1,1,1,0,0,5,1
AGSTAR PLC,https://agstaragri.lk,1,1,1,1,1,1,13,9586,0,1,60.0,0,0,0,0,29.74,1,0.5,0,0,0,0,0,0,2,0,0,5,0
AITKEN SPENCE HOTEL HOLDINGS PLC,https://www.aitkenspencehotels.com,1,0,1,0,0,2,26,276,0,1,60.0,1,1,0,1,0.0,1,0.5,0,0,0,0,0,0,2,0,0,4,0
AITKEN SPENCE PLC,https://aitkenspence.com,1,1,1,1,1,1,16,3216,0,1,60.0,1,0,0,1,0.0,1,0.21,10,0,0,0,1,0,2,0,0,6,1
ALLIANCE FINANCE COMPANY PLC,https://www.alliancefinance.lk,1,1,1,1,1,2,22,15538,0,1,60.0,0,0,0,1,11.16,1,0.05,20,0,0,0,1,0,2,0,0,5,1
ALPHA FIRE SERVICES PLC,http://www.alphafire.lk,1,0,1,0,0,2,16,164,0,0,60.0,0,0,0,1,14.43,1,0.5,5,0,0,0,0,0,2,0,1,1,1
ALUMEX PLC,https://alumexgroup.com,1,0,1,1,1,1,15,20032,0,1,60.0,0,0,0,1,0.0,1,0.71,10,0,0,0,0,1,2,0,0,5,0
AMANA BANK PLC,https://www.amanabank.lk,1,1,1,1,1,2,16,8030,0,1,60.0,1,0,0,0,0.0,1,0.19,15,0,0,0,1,0,2,0,0,6,1
AMANA TAKAFUL  PLC,https://www.takaful.lk,1,1,1,0,0,2,14,301,0,1,60.0,0,0,0,0,38.59,1,0.7,15,0,0,0,1,1,1,0,0,5,1
AMANA TAKAFUL LIFE PLC,https://www.takaful.lk,1,1,1,0,0,2,14,301,0,1,60.0,0,0,0,0,38.59,1,0.23,5,0,0,0,1,0,1,0,0,3,1
AMANA TAKAFUL PLC,https://www.takaful.lk,1,1,1,0,0,2,14,301,0,1,60.0,0,0,0,1,38.59,1,0.2,25,0,0,0,1,1,1,0,0,5,1
AMBEON CAPITAL PLC,https://www.ambeoncapital.com,1,0,1,0,0,2,21,164,0,1,60.0,0,0,0,0,5.37,1,0.19,5,0,0,0,1,0,2,0,0,2,1
AMBEON HOLDINGS PLC,https://ambeonholdings.com,1,0,1,0,0,1,18,164,0,1,60.0,0,0,0,0,8.51,1,0.5,0,0,0,0,0,0,2,0,0,2,0
AMW CAPITAL LEASING AND FINANCE PLC,https://capitalleasing.esrilanka.org,1,1,1,1,1,2,28,5328,0,1,60.0,1,1,0,1,35.45,1,0.5,5,0,0,0,0,0,0,0,0,7,0
ANILANA HOTELS AND PROPERTIES PLC,https://anilana.com,1,1,1,1,1,1,11,12249,0,1,60.0,1,0,0,0,34.54,1,0.5,0,0,0,0,0,0,2,0,0,6,0
ARPICO INSURANCE PLC,https://www.arpicoinsurance.com,1,1,1,0,0,2,23,58,0,1,60.0,1,0,0,1,0.0,1,0.5,0,0,0,0,0,0,2,0,0,4,0
ASIA ASSET FINANCE PLC,,1,0,0,0,0,2,14,52,0,0,60.0,0,0,0,0,0.0,0,0.17,10,0,0,0,1,0,1,0,1,0,2
ASIA CAPITAL PLC,,1,0,0,1,1,2,18,9552,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,2,1
ASIA SIYAKA COMMODITIES LIMITED,https://asiasiyaka.lk,1,1,1,1,1,1,13,11834,0,1,60.0,0,0,0,0,28.29,1,0.5,0,0,0,0,0,0,2,0,0,5,0
ASIAN HOTELS AND PROPERTIES PLC,,1,0,0,1,1,2,24,33880,1,0,60.0,0,0,1,0,0.0,0,0.5,5,0,0,0,0,0,1,0,1,2,1
ASIRI HOSPITAL HOLDINGS PLC,https://asirihealth.com,1,1,1,1,1,1,15,30719,0,1,60.0,1,0,0,0,0.0,1,0.5,5,0,0,0,0,0,2,0,0,6,0
ASIRI SURGICAL HOSPITAL PLC,https://asirihealth.com,1,1,1,1,1,1,15,30719,0,1,60.0,1,0,0,0,0.0,1,0.55,10,0,0,0,0,0,2,0,0,7,0
ASSOCIATED MOTOR FINANCE COMPANY PLC,,1,0,0,1,1,3,15,20259,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,2,1
