"msg_id","text","label","tactic"
"REAL_001","I'm a recruiter at DataAnnotation, where we pay smart folks to train Al. Your profile stood out to me as we are seeking bilingual English + Hindi professionals. We need consultants to help train Al to ensure its accuracy. You will help us write answers to prompts and research/fact-check Al responses. Hi Aryan,","0",""
"REAL_002","Hi Jonathan, I wanted to update you on my job search progress - I received a job offer today at Google for the role you suggested me to email the recruiter about. I'm excited for the role and wanted to hear your thoughts on how I should go about negotiating my salary. Do you have time next week to chat? Best,","0",""
"REAL_003","Hi Julie, I recently reviewed your résumé and was very impressed by the depth of your experience and the strength of your professional background. Your profile truly stood out, and I wanted to connect with you personally to ensure you don't miss out on potential opportunities. I would be happy to support you by connecting you with opportunities within my network that align with your skills and career goals. Please let me know if you would be open exploring new opportunities at this time. Tara Cummings taracummings302@gmail.com","1","social_proof,fomo"
"REAL_004","Dear AAKASH CHAUHAN, Hope you are doing well. This is regarding your profile for the Machine Learning role. Your profile looks suitable and we would like to have a quick discussion. To schedule a discussion please contact: HR Naveen (+91 7761041779) Position: Machine Learning Interview Type: Telephonic Location: Bangalore / Remote If you have any queries, please reply to this email. Best regards, HR Department hr@uplayersrecruit.in","0",""
"REAL_005","Dear AAKASH CHAUHAN, Hope you are doing well. This is regarding your profile for the Machine Learning role. Your profile looks suitable and we would like to have a quick discussion. To schedule a discussion please contact: HR Naveen (+91 7761041779) Position: Machine Learning Interview Type: Telephonic Location: Bangalore / Remote If you have any queries, please reply to this email. Best regards, HR Department hr@uplayersrecruit.in","0",""
"REAL_006","Hello, I hope you're doing well. I wanted to share an update regarding your résume screening results for opportunities. Your résumé received a score of 32%, which reflects strong potential. However, it does not yet fully align with the ATS (Applicant Tracking System) criteria and the specific requirements expected for roles within the firm. Following a detailed review by the HR team, it was noted that while your background demonstrates solid experience and capability, there are currently 10 warnings and 10 key issues that need to be addressed before you can move forward in the process. These primarily relate to missing role-specific keywords relevant to the firm, as well as formatting inconsistencies that impact clarity and overall structure. To remain eligible for further consideration, these updates should be completed within the next 19 hours. Would you like me to guide you step-by-step on how to correct these issues and optimize your résume to meet the expected standards? Best regards, Talent acquisition","1","urgency,social_proof"
"REAL_007","Dear Nicole, Thank you for your recent application for the position of Recruitment Advisor. We've reviewed your application and after careful consideration we regret to advise that you have been unsuccessful in this instance. We would like to retain your details on file and may be in contact with you if an appropriate opportunity to join our team becomes available. Please don't hesitate to apply for other suitable roles in the future. We are pleased that you considered us as a prospective employer and wish you every success.","0",""
"REAL_008","Dear Racharla Gopala krishna, Congratulations! We are pleased to offer you the position of Junior Associate - Technical Teaching Assistant at iamneo- An NIIT Venture, under our Work-Integrated Learning Program (WILP). This role provides a unique opportunity to gain hands-on industry experience while pursuing a fully sponsored master's degree through a premier academic institution. Your date of joining will be 2nd June 2025. You will be designated as a Junior Associate - Technical Teaching Assistant, and your initial work location will be Coimbatore. Please note that you may be relocated to other locations in the future, based on business requirements. During the WILP program, which spans two years, your total annual compensation will be INR 3,00,000 (Three Lakhs only), inclusive of applicable benefits and statutory components. Upon successful completion of the program, the compensation will be revised to INR 6,00,000 (Six Lakhs only). Please confirm your acceptance of this offer by signing and returning a scanned copy of this letter on or before 19th May 2025. We are excited to welcome you to our team and look forward to your contribution and growth with you. For iamneo Edutech Private Limited, Senthilkumar.T.P, CEO & Co-Founder","0",""
"REAL_009","Dear Kay, Thank you for your recent application for the Human Resources Coordinator at Lifeway Christian Resource. We're pleased to let you know that your background has caught our attention, and we would like to move forward with an interview. This will be an opportunity for us to learn more about you and for you to ask any questions about the role and our team. Upon confirmation, I will be pleased to forward a Microsoft Teams invitation at a time that aligns with your availability. We look forward to connecting with you soon. Best regards, Kierstin Vaughn, Human Resources Coordinator, Lifeway Christian Resource.","0",""
"REAL_010","Hello, Good morning. It has now been the second Friday since my last follow-up, and I still have not received any update regarding the status of my application. I believe I deserve clear communication, especially after the time and effort I invested throughout the process. As I mentioned in our previous conversation, I am completely open to any outcome, even if I am not selected for the role. However, I made every effort to respond promptly to your emails, prepare for the interview, and even showed up earlier than the scheduled time out of respect for the opportunity and your team's time. I also shared during our last conversation that I was still willing to continue with your company despite previous instances where I felt I was ghosted, so I sincerely hope that this will not be the case again. I would greatly appreciate a clear update regarding my application status.","0",""
