msg_id,speaker,text,label,tactic,stage,platform,urgency,subtlety_level,scam_subtype
EXT_SCAM_0001,hr,registration deposit LKR 7500 — covers compliance documentation.,1,urgency,payment_request,WhatsApp,medium,obvious,training_fee
EXT_SCAM_0002,recruiter,Educational certificate attestation fee AED 200 via authorized agent.,1,urgency,payment_request,WhatsApp,medium,obvious,background_check
EXT_LEGIT_0003,manager,"Hi Thilini, the technical round is a case study. You'll get the problem statement via email and have 48 hours to submit.",0,,document_request,Email,low,,
EXT_LEGIT_0004,manager,Welcome aboard Pradeep! Your employee ID and system access will be ready from day one. IT team will set up your laptop at reception.,0,,document_request,LinkedIn,low,,
EXT_SCAM_0005,recruiter,PHP 2000 per day product testing. Simple work from phone.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_SCAM_0006,attacker,Remote Singapore company job. SGD 500 per task set.,1,social_proof,initial_contact,WhatsApp,medium,medium,high_hourly
EXT_LEGIT_0007,manager,"Hi Thilini, for HR onboarding records please upload your NIC copy and latest tax slip to our secure portal: https://hr.mas.com/onboard. Do not share via WhatsApp.",0,,document_request,LinkedIn,medium,,
EXT_SCAM_0008,recruiter,sgd 200 per hour online work. easy. daily cashout.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0009,attacker,singapore job confirmed. work permit sgd 200 via our agent. normal charge.,1,"social_proof,urgency",payment_request,WhatsApp,high,obvious,visa_scam
EXT_SCAM_0010,attacker,earn $200 per day rating products. simple phone work. flexible.,1,social_proof,initial_contact,SMS,medium,medium,high_hourly
EXT_SCAM_0011,hr,File processing charge LKR 12000 to initiate official employer correspondence.,1,urgency,payment_request,WhatsApp,medium,obvious,direct_payment
EXT_SCAM_0012,recruiter,akka earn inr 2000 per day home job. typing work. very easy.,1,social_proof,initial_contact,Email,medium,medium,high_hourly
EXT_LEGIT_0013,manager,"Hi Divya, please upload NIC copy and bank statement to our secure portal: https://portal.hsenid.com/hr for payroll setup.",0,,initial_contact,LinkedIn,medium,,
