msg_id,speaker,text,label,tactic,stage,platform,urgency,subtlety_level,scam_subtype,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof
SCAM_0001,recruiter,"🚀 Hi, as part of the documentation process our HR compliance team requires a copy of your National Identity Card. Please send a clear, well-lit photo of both the front and back to this number. This is used only for identity verification purposes as required by our client in Dubai. Your NIC details will be submitted to the overseas recruitment authority and will not be shared beyond this purpose. Please send today so we can move your file forward before the submission deadline at 5pm. ✅",1,"social_proof,urgency",document_request,SMS,high,obvious,nic_request,1,0,0,1
LEGIT_0002,manager,"🚀 Hi Harshi, salary discussion update: the band for this role is LKR 2500–17500. We can position you at the top given your experience. ✅",0,,offer_announcement,LinkedIn,low,,,0,0,0,0
LEGIT_0003,hr,"Hi Ananya, salary discussion update: the band for this role is LKR 5000–20000. We can position you at the top given your experience.",0,,follow_up,LinkedIn,low,,,0,0,0,0
SCAM_0004,manager,Background check: LKR 15000 via our agent. Refundable.,1,urgency,document_request,Telegram,medium,obvious,background_check,1,0,0,0
SCAM_0005,recruiter,"Hey Harsha, you already passed two rounds. Don't let a delay lose you the opportunity now. Just confirm and we proceed.",1,"sunk_cost,urgency",qualification,WhatsApp,low,very subtle,subtle_pressure,1,0,1,0
SCAM_0006,recruiter,"🚀 Hi, as a final security step to activate your employee profile on our HR management system, we have sent a one-time password to your registered mobile number. This is part of our two-factor authentication process and is required for all new joiners. Please share the 6-digit code with our HR coordinator as soon as you receive it — it expires within 10 minutes. Once verified, your offer letter and onboarding documents will be unlocked and accessible through the portal. This is a standard step and your account security is maintained throughout. 🔐",1,"social_proof,urgency",document_request,Email,high,medium,otp_share,1,0,0,1
LEGIT_0007,recruiter,Welcome Pradeep! Onboarding confirmed for Monday. Your employee ID and system access will be ready from day one. IT team will set up your laptop — collect from reception.,0,,offer_announcement,Instagram,low,,,0,0,0,0
SCAM_0008,recruiter,"📢 Hi, we are expanding our remote crypto trading team across Asia and are looking for motivated individuals to join as portfolio assistants. The role involves executing predefined trading signals on Binance — no experience needed as you follow our analyst's instructions. The only requirement is an initial working capital deposit of USDT 300 on the platform. Our senior traders manage the strategy and your capital earns daily returns of 5–12%. Weekly withdrawals are available. We have over 800 active members earning consistently. Reply if you want more details and we'll walk you through the platform setup. ✅",1,social_proof,payment_request,WhatsApp,high,obvious,crypto_recruiter,0,0,0,1
LEGIT_0009,hr,Welcome to Arimac Lanka Isuri! Start date confirmed: Monday. HR will be in touch.,0,,offer_announcement,WhatsApp,low,,,0,0,0,0
LEGIT_0010,manager,"Hi Amaya, can come up to LKR 5000. Is that ok?",0,,follow_up,LinkedIn,low,,,0,0,0,0
LEGIT_0011,hr,"Hi Amaya, Emma from John Keells Holdings here. Quick update — your profile is still very much in consideration. Senior review meeting is tomorrow. Hoping to have news for you by Thursday.",0,,follow_up,Email,low,,,0,0,0,0
LEGIT_0012,manager,"Hi Sajith, I wanted to follow up personally after last week's panel interview. The feedback from the team was genuinely positive — your experience and problem-solving approach stood out. The decision is currently with the business unit head and we're waiting on final sign-off before extending the offer. I know waiting is frustrating and I appreciate ur patience. I'm expecting to have an update by end of this week at the latest. If anything changes before then I'll reach out immediately. Please feel free to check in if you'd like an update before then.",0,,follow_up,LinkedIn,medium,,,0,0,0,0
SCAM_0013,manager,"Hi Fathima, I want to have an honest conversation with you. You've invested three weeks in this process — you passed the interview, submitted your documents, completed the background check. Your file is literally sitting at the UK employer's desk. The only thing standing between you and this opportunity is the final administrative fee of LKR 10000. I understand it might feel like a lot right now, but consider what you stand to gain — a salry that's 3–4x what you earn here, overseas experience, stability. don't na let the last step undo everything you've already done. I'm here to help you get across the finish line.",1,"sunk_cost,urgency",sunk_cost_followup,Telegram,high,very subtle,sunk_cost,1,0,1,0
SCAM_0014,attacker,⚡ Our proprietary work platform requires a mobile app download. Get it from http://apk-install.net — not on Play Store yet (beta). Enable 'install from unknown sources' in settings.,1,social_proof,initial_contact,SMS,high,medium,apk_download,0,0,0,1
SCAM_0015,recruiter,🎉 Your work-from-home equipment is ready to dispatch. A refundable security deposit of LKR 1500 is required. Many others have completed this step and are already working. ✅,1,urgency,payment_request,WhatsApp,high,medium,equipment_deposit,1,0,0,0
SCAM_0016,recruiter,"🔔 Hi! Our platform has a special task batch opening today only. Each completed task pays LKR 6000 and takes approximately 45 minutes to 1 hour. Tasks include form filling, short reviews, and tagging images — no technical skills required. We have 20 slots available and they are filling fast based on our morning announcement. Once you reply I'll send your unique task link and payment instructions. Payouts happen within 24 hours of submission. Don't miss this — last batch filled in under 2 hours.",1,"fomo,urgency",initial_contact,WhatsApp,high,medium,quick_task,1,1,0,0
LEGIT_0017,recruiter,"Hi Anil, we're pleased to extend a formal offer for the Product Manager position at Dialog Axiata. Salary and benefits as discussed. Please review the attached letter and revert by end of this week.",0,,qualification,WhatsApp,medium,,,0,0,0,0
SCAM_0018,hr,"🎉 Work from mobile. Rate products, earn LKR 7500 per session. 📩",1,social_proof,initial_contact,Telegram,high,very subtle,high_hourly,0,0,0,1
SCAM_0019,recruiter,🎉 Your file is at HQ. Don't stop now — almost done.,1,"sunk_cost,urgency",sunk_cost_followup,SMS,high,medium,sunk_cost,1,0,1,0
LEGIT_0020,hr,"Hi Roshan, we're pleased to extend a formal offer for the Finance Manager position at MAS Holdings. Salary and benefits as discussed. Please review the attached letter and revert by end of this week.",0,,offer_announcement,LinkedIn,medium,,,0,0,0,0
SCAM_0021,hr,✅ To prepare your appointment letter we need your NIC. Please WhatsApp front and back photos to +94 77 854 8114. Needed today.,1,"social_proof,urgency",document_request,WhatsApp,high,medium,nic_request,1,0,0,1
LEGIT_0022,recruiter,"Hey Bimal, Phoenix Industries here. Ur profile caught our attention. Got a role u might like.",0,,initial_contact,LinkedIn,low,,,0,0,0,0
SCAM_0023,hr,"Your Bahrain visa application has progressed to the final stage. The embassy requires a processing charge of LKR 10000 for the visa endorsement and stamp. This is collected by their authorized representative — not by our office directly. Please note that missing this payment by 5pm today will forfeit your appointment slot and you will have to restart the process from the beginning, which takes an additional 4–6 weeks. Payment details: +94 77 819 6681. Kindly send receipt immediately after transfer.",1,urgency,urgency_pressure,SMS,high,medium,visa_scam,1,0,0,0
SCAM_0024,hr,"For biometric verification pls send a selfie holding your NIC. Photo must be clear, front-facing, with both sides of the ID visible. Send to 071 7651172.",1,social_proof,document_request,WhatsApp,high,very subtle,selfie_id,0,0,0,1
SCAM_0025,manager,Good news! Your UK visa application has been approved. The final government processing fee is LKR 2000. Pay to our agent today to get the visa stamp confirmed.,1,urgency,payment_request,SMS,high,medium,visa_scam,1,0,0,0
LEGIT_0026,manager,"Hello Rukshila, Kevin here from Sysco LABS. Saw your experience on your CV on our portal — impressive. We have a senior marketing lead opening. Quick 15-minute intro call this week?",0,,initial_contact,SMS,low,,,0,0,0,0
LEGIT_0027,hr,"Hi Karthik, salry discussion update: the band for this role is LKR 6000–21000. We can position you at the top given your experience.",0,,follow_up,WhatsApp,low,,,0,0,0,0
SCAM_0028,recruiter,"Hi Sanduni, I want to have an honest conversation with you. You've invested three weeks in this process — you passed the interview, submitted your documents, completed the background check. Your file is literally sitting at the Australia employer's desk. The only thing standing between you and this opportunity is the final administrative fee of LKR 5000. I understand it might feel like a lot right now, but consider what you stand to gain — a salary that's 3–4x what you earn here, overseas experience, stability. Don't let the last step undo everything you've already done. I'm here to help you get across the finish line.",1,"sunk_cost,urgency",sunk_cost_followup,SMS,high,very subtle,sunk_cost,1,0,1,0
LEGIT_0029,hr,"Hey Harsha, just checking in. Any update on ur end?",0,,follow_up,SMS,medium,,,0,0,0,0
LEGIT_0030,hr,"hi mohamed, apologies for the cold message — i know these can feel intrusive. i'm kasun from phoenix industries's talent acquisition team. i came across your profile on your cv on our portal and your background in the field stood out, particularly your experience and the type of projects you've worked on. we currently have an opening for a solutions architect role that i think aligns very closely with your trajectory. this is a direct hire position — not a vendor role. if you're open to a very casual 10-minute chat just to understand if there's a potential fit, i'd love to connect. no pressure if the timing isn't right!",0,,initial_contact,LinkedIn,low,,,0,0,0,0
SCAM_0031,recruiter,"Hi, as part of your onboarding we will courier a laptop, router, and accessories to your home address. Company policy requires a refundable security deposit of LKR 4500 to protect the equipment during the trial period. This amount is either refunded after 6 months or deducted from your accumulated salary — whichever you prefer. Over 200 remote employees have completed this step. Please arrange payment to 071 3038389 and share the slip. Courier dispatch takes 1–2 business days after confirmation.",1,"social_proof,urgency",payment_request,LinkedIn,high,medium,equipment_deposit,1,0,0,1
LEGIT_0032,recruiter,"hi karthik, i spoke with our hr director and the hiring manager regarding your compensation expectation. after some internal discussion, kpmg sri lanka is able to revise the offer to lkr 5000 fixed per month, with a performance-linked bonus of up to 20% annually based on kpis. benefits remain as previously outlined — medical for yourself and immediate family, transport allowance, and 21 days annual leave. we also discussed your request for an early performance review and can commit to a formal review at the 6-month mark with salary adjustment effective from that date. please let me know if this works for you and we'll have the revised offer letter ready!",0,,offer_announcement,Email,low,,,0,0,0,0
LEGIT_0033,hr,Welcome Thilini! Onboarding confirmed for next Tuesday. Your employee ID and system access will be ready from day one. IT team will set up your laptop — collect from reception.,0,,offer_announcement,Email,low,,,0,0,0,0
LEGIT_0034,hr,"Hi Rashmila, hope you're doing well. Following our discussion, CodeGen International is pleased to formally extend an offer for the Mobile Developer role. The offer letter has been uploaded to your candidate portal at careers.wso2.com/apply. Please review the compensation, probation terms, and benefits outlined in section 3. If there's anything you'd like to discuss before signing — particularly around the start date or notice period — feel free to reach out. We'd like to have your signed acceptance back by next Friday. Looking forward to having you on the team.",0,,qualification,SMS,low,,,0,0,0,0
LEGIT_0035,recruiter,"Hello Rohini, Thilini here from Cambio Software. Saw your experience on a referral from our network — impressive. We have a senior finance executive opening. Quick 15-minute intro call this week?",0,,initial_contact,SMS,low,,,0,0,0,0
SCAM_0036,hr,"Hi Rukshila, I don't want to pressure you but I need to be honest — the team has already begun reviewing the next batch of candidates. Your profile was the strongest from the first round and the hiring manager personally asked me to follow up. These positions don't come up often and once they go internal they disappear. I just need a yes or no so I can lock your file before end of day. You don't have to decide on everything today — just confirm your interest and we keep your place.",1,urgency,initial_contact,Telegram,low,very subtle,subtle_pressure,1,0,0,0
SCAM_0037,recruiter,Training fee LKR 2500 — pay before Friday to confirm seat.,1,urgency,payment_request,Email,high,very subtle,training_fee,1,0,0,0
LEGIT_0038,manager,"hi dinesh, formal offer sent. let us know if you have questions.",0,,offer_announcement,SMS,low,,,0,0,0,0
LEGIT_0039,hr,"Hello Nilufar, Rohan here from SLT-Mobitel. Saw your experience on a referral from our network — impressive. We have a senior data engineer opening. Quick 15-minute intro call this week?",0,,initial_contact,SMS,low,,,0,0,0,0
