msg_id,speaker,text,label,tactic,stage,platform,urgency,subtlety_level,scam_subtype,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof
SC_SUNK_0001,agent,"Hi Chamari, great update — the Czech Republic employer has signed your appointment letter. The visa processing fee of LKR 3,000 is the last formality before your work permit is issued. You've come three rounds to get here. Don't let this small fee stop you.",1,sunk_cost,payment_request,Email,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0002,coordinator,"Hi Hasitha, your Netherlands work visa application has been submitted. After 3 rounds of selection and full document verification, the only remaining step is the visa processing fee of LKR 15,000. This is a government-mandated charge collected by the overseas authority. Your effort over these 2 weeks deserves this final step.",1,sunk_cost,payment_request,WhatsApp,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0003,agent,"Dear Chaminda, your visa processing fee of USD 50 is due. This is separate from your salary and is a government compliance requirement for all New Zealand placements. You have already passed every assessment — this payment finalises your placement file.",1,sunk_cost,payment_request,SMS,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0004,recruiter,"Hi Dilan, great update — the Czech Republic employer has signed your appointment letter. The visa processing fee of LKR 3,000 is the last formality before your work permit is issued. You've come four rounds to get here. Don't let this small fee stop you.",1,sunk_cost,follow_up,Telegram,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0005,recruiter,"Dear Thilak, we have been processing your Singapore visa for four weeks. All checks passed. The outstanding visa fee is LKR 3,000 — once cleared, your work visa is issued within 3 working days. Please don't let this delay your placement.",1,sunk_cost,payment_request,SMS,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0006,consultant,"Nadeeka, urgent update on your visa. The Bahrain immigration authority has flagged your file as pending due to the outstanding visa processing fee of LKR 12,500. After all the rounds you completed, your slot will be cancelled if this isn't paid by tomorrow.",1,sunk_cost,sunk_cost_followup,Instagram,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0007,consultant,"Hi Eshan, great update — the Poland employer has signed your appointment letter. The visa processing fee of LKR 2,500 is the last formality before your work permit is issued. You've come 2 rounds to get here. Don't let this small fee stop you.",1,sunk_cost,document_request,Email,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0008,agent,"Hi Hasitha, the BoldStep Careers HR team has confirmed your IT Helpdesk Technician role in Ireland. Our agent will process your work visa once the LKR 8,000 visa processing fee is transferred. Contact our agent at 0735408072. After 4 rounds, you deserve this opportunity.",1,sunk_cost,follow_up,SMS,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0009,agent,"Hi Bhagya, your Procurement Officer placement in South Korea is confirmed by IronPath Consulting. The visa processing fee of CAD 120 is the last formality. Others in your batch who cleared 2 rounds paid this last week and have already received their visa approval letters.",1,sunk_cost,urgency_pressure,Email,low,very subtle,visa_processing_fee,0,0,1,0
SC_SUNK_0010,coordinator,"Hi Priya, your work permit for South Korea is 90% processed. The final LKR 10,000 visa processing fee is needed to release your permit number. This fee is collected by our government-registered agent at 0785476583. You have invested too much to stop now.",1,sunk_cost,document_request,LinkedIn,low,very subtle,visa_processing_fee,0,0,1,0
