msg_id,speaker,text,label,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof,has_tactic,tactic_clean,stage,platform,urgency,aug_method
1,recruiter,"Yes, I can do that. However, for smoother communication and faster replies, I suggest we continue our conversation from here. WhatsApp allows real-time interaction, making it easier to address your questions or concerns promptly. Additionally, I can share updates instantly, ensuring a more efficient and seamless process throughout your application.",1,0,0,0,0,0,none,hook,WhatsApp,3,original
2,other,"You must sign a 2-year contract, and if you leave early you will be required to pay a $23,000 termination fee.",1,0,0,1,0,1,sunk_cost,extraction,other,3,original
3,recruiter,Please add specific skills to your resume before we forward your profile to the hiring manager.,1,0,0,0,0,0,none,hook,other,3,original
4,recruiter,"Hi, I'm Lina. Our company is working with an application developer to improve app visibility. Flexible hours, no experience required, part-time or full-time. Monthly salary $6,000-9,000. Are you interested?",1,0,0,0,0,0,none,hook,SMS,3,original
5,recruiter,This role provides quick promotions and exciting career opportunities for motivated individuals.,1,0,1,0,0,1,fomo,hook,other,3,original
6,recruiter,"I got your resume from Indeed and I'm looking for someone to assist me. I will pay $850 weekly. You will help post properties on Facebook Marketplace and Craigslist, and I will pay you via Cash App or Zelle.",1,0,0,0,0,0,none,extraction,SMS,3,original
7,recruiter,"Hello, your PlushCare employment documents are attached. A startup check has been issued for your equipment and setup. Please print the check, cut and endorse it, deposit it using your bank's mobile app, and send a copy of the deposit receipt as proof once completed.",1,0,0,1,0,1,sunk_cost,extraction,Email,5,original
8,other,"Hello, my name is Shirley and I am a recruiter at Mara. Your resume has been recommended by several online recruitment companies. Therefore, our company is offering you a remote job. This is a great remote part-time/full-time online job helping Mara update data and providing free training. The hours are 30 to 60 minutes, and you can earn between $200 and $2000 per day if you want. Base pay is $1200 for every 4 days you work. (Note: You must be at least 22 years old). 4-day paid probationary period. At the end of the probationary period, you will be able to sign an employment contract with the company and receive paid annual leave and other benefits. If you would like to join us, please contact us by adding WhatsApp: +17XXXXXXXX",1,0,1,0,0,1,fomo,extraction,SMS,3,original
9,recruiter,"Hi, I am Jacob from Cherry Amcil Limited. You've been shortlisted for a Customer Service, Administrative Assistant, Data Entry role at Pantoro Limited. $45/hour + 1 week training. Are you interested?",1,0,1,0,0,1,fomo,hook,SMS,3,original
10,recruiter,"I'm happy to inform you that based on your experience and skills, the company has decided to hire you for a remote Data Analyst position. Starting pay is $60 per hour with weekly payment options. You will begin with a short online training, and we will provide you with access to company systems. A payment via check will be issued to you to purchase the required office equipment and software for your workstation. Kindly provide your full name, home address, phone number, and email so that HR can proceed with your onboarding and send your offer letter.",1,0,0,1,0,1,sunk_cost,extraction,Email,3,original
11,recruiter,"We are pleased to offer you a remote Procurement Analyst position based on your experience. The starting salary is $40 per hour with weekly payment. You will undergo a short training via Zoom and receive access to company systems. The company will provide payment for you to purchase office supplies and software before setting up your workspace. Kindly send your full name, address, phone number, and email so HR can proceed with your registration and offer letter",1,0,0,1,0,1,sunk_cost,extraction,Email,3,original
12,recruiter,"Hello, this is [RECRUITER_NAME] from [COMPANY] regarding a remote position. We would like to schedule a Zoom meeting to discuss the role. As part of the hiring process, you will need to complete a soft credit check. Don't worry, this will not affect your credit score. Please let me know when you are available so we can proceed",1,0,0,1,0,1,sunk_cost,extraction,SMS,4,original
13,recruiter,"Hi there, we wanted to reach out with an exciting opportunity at [COMPANY]. We are currently looking for talented video editors to join our creative team and help bring clients' visions to life. We believe you would be a great fit. If you are interested, please respond to this email with confirmation.",1,0,1,0,0,1,fomo,hook,Email,3,original
14,recruiter,"Good, you have been selected among the new recruiters for our online screening interview via Skype or Google Hangout. The pay is $25 per hour and the working hours are flexible. Do you have Skype or Google Hangout? Kindly provide me with your Google Hangout email so I can add you and proceed further. I have sent you an invite, please accept it so we can continue with the interview process.",1,0,0,0,0,0,none,extraction,SMS,3,original
15,recruiter,"We are pleased to extend this offer of employment to you on behalf of BDR Solutions. After carefully reviewing your application and qualifications, we are confident that you will be an excellent addition to our team. You will begin with a three to five day online training program via Zoom, after which daily tasks will be assigned through our internal platform. The position offers a salary equivalent to $68 per hour, paid via direct deposit or wire transfer, along with benefits including health, dental, and vision insurance, paid time off, and retirement plans. To facilitate the registration process and draft your offer letter, please provide the following information: your complete name, full mailing address, email address, phone number, and preferred start date.",1,0,0,1,0,1,sunk_cost,extraction,Email,4,original
16,recruiter,"We don't need you to provide your SSN, just make sure you have it. If you are interested, our employers will provide detailed details. To apply for the job, you must be at least 25 years old. How old are you, please? About this job, can I send you more details, darling? Why? Can you tell me the reason for your refusal, darling?",1,0,0,0,0,0,none,hook,SMS,3,original
17,recruiter,"I hope you're having a great day!I'm excited to share an opportunity with you at Thermo Fisher Scientific company known for its innovative solutions. After reviewing your background, we think you'd be a fantastic fit for the Senior Field Applications Engineer role they are currently looking to fill.This position offers the chance to work on exciting projects and collaborate with a talented team. If you'd like to learn more about this role, please check out the job details here:https://hello1jobs.xyz/ucesI look forward to your thoughts!Warm regards,ThankMuhammad UsamaPharmacy 5th year student",1,0,0,0,1,1,social_proof,extraction,Email,4,original
18,recruiter,"I hope this message finds you well!We are reaching out on behalf of Syntricate Technologies , which frequently has exciting job openings. After reviewing your profile, we believe your skills and experience make you an excellent fit for the Java production Support position.If you're interested in exploring this opportunity, please visit the following link for the job description:https://hello1jobs.xyz/lokfLooking forward to hearing from you soon!Best regards,[Your Name]Muhammad SudheerLead Generation at Lead generation manager",1,0,0,0,1,1,social_proof,hook,Email,3,original
