msg_id,speaker,text,label,tactic_urgency,tactic_fomo,tactic_sunk_cost,tactic_social_proof,has_tactic,tactic_clean,stage,platform,urgency
1,recruiter,"Great news! Your interview evaluation is 95% complete. We've already reserved your employee ID and office laptop. To finalize the insurance bonding and ship the equipment to your home address, please transfer the refundable security deposit of LKR 3,500 by 4:00 PM today. We don't want you to lose this progress.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
2,recruiter,"I've been working with the HR board all morning to approve your high salary of LKR 110,000. They finally agreed because of your profile! I have already generated your digital offer letter. Just pay the small verification fee of LKR 2,000 so I can hit the 'Send' button. Let's not waste the effort we put in today.",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,4
3,recruiter,"Step 3 of 4 is now complete! You have passed the background check. The final step is the mandatory 'Safety Compliance Training' module. The company covers the training cost, but you must pay the LKR 1,500 portal activation fee. Since you are so close to starting on Monday, please settle this now to avoid a restart",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,5
4,recruiter,"Congratulations! The CEO just signed off on your selection. Your profile is now locked in our system. To release the sign-on bonus of LKR 15,000, the bank requires a one-time account verification deposit of LKR 2,500. This is the last hurdle before your first paycheck. Please send the receipt within 30 minutes.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
5,recruiter,"Your onboarding files are 90% processed. I've already turned away the other three candidates because I trust you. If you don't complete the NIC verification and registration fee (LKR 2,000) in the next hour, the system will automatically reset and I'll have to start the whole process again with someone else.",1,1,1,1,0,1,"sunk_cost,fomo,urgency",extraction,WhatsApp,5
6,recruiter,"Dear, almost finish your work permit process. My manager say your file 98% done but need final stamp fee 3500 LKR. Pls pay now so I can send the flight ticket tonight. Don't waste this big chance you already pass all interview.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
7,recruiter,I hv good news for u. Compny buy your uniform and ID card already. Only need the security deposit 2000LKR for the courier delivery. If u not pay in 30min the delivery will cancel and we must give job to next person. Pls hurry.,1,1,1,1,0,1,"sunk_cost,fomo,urgency",extraction,WhatsApp,5
8,recruiter,"U r lucky! CEO sign your offer. But for the bank system to send salary 95,000 u must activate your file first. Just 2500 LKR for the activation. I help u a lot today to get this job, pls don't make me look bad to my boss. Do it fast.",1,0,0,1,1,1,"sunk_cost,social_proof",extraction,WhatsApp,5
9,recruiter,"Hello, pls listen. Ur background check finish, very good results! Last step is only the software license for work from home. LKR 3000 only. U already spend 2 days for this, finish it now so u can start work Monday. Sent the receipt here.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
10,recruiter,"Ur file is on my desk. Everything ok but account team say registration fee 1500 missing. If u not pay now I cannot release the 20k bonus we talk before. Pls send via Koko or bank transfer now, 10 mins only left",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
11,recruiter,"Hi [CANDIDATE_NAME], I just checked with our logistics team. Your [ITEM] is ready for delivery but they say your address is not matching the insurance system. You have to pay the clearance fee of [CURRENCY] [AMOUNT] first then only they release tracking. I already booked the rider so pls do it now before he leaves.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
12,recruiter,"[CANDIDATE_NAME] i'm so sorry, [MANAGER_NAME] is very angry. He said the free training slots at [COMPANY_NAME] are full and only the paid certification is left. If you dont pay the [AMOUNT] now your file will be rejected and I cant help you again. Pls don't lose this job after we did all that work yesterday.",1,0,0,1,1,1,"sunk_cost,social_proof",extraction,WhatsApp,4
13,recruiter,"Excellent news! Your pay account for [COMPANY_NAME] has just been approved by the bank. However, you must make a one-time verification deposit of [CURRENCY] [AMOUNT] in order to receive your [AMOUNT] sign-on bonus. This will be reimbursed on your first paycheck; it's merely bank policy. There are just 15 minutes left before the bank portal closes, so provide the screenshot quickly.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
14,recruiter,"You still haven't paid for the registration, Aiyo? HR wants to know why the file for [CANDIDATE_NAME] is still waiting. You're a terrific fit for [JOB_ROLE], I informed them. Kindly send [AMOUNT] right away using [PAYMENT_METHOD]. They assign the role to someone else if it isn't finished in ten minutes. Don't make a mess now; I've already entered your name.",1,1,1,1,0,1,"sunk_cost,fomo,urgency",extraction,WhatsApp,5
15,recruiter,"Your background check for [COMPANY_NAME] is almost clear. Just one small thing, the third-party agency needs [AMOUNT] for the security clearance stamp. Everyone joining here has to pay this. Since you already pass the interview and everything, just finish this last part now. I'm waiting for your reply to send the joining link",1,0,0,1,0,1,sunk_cost,extraction,WhatsApp,3
16,recruiter,"Hello [CANDIDATE_NAME], I saw you didn't complete the verification yet. Your NIC [NIC_NUMBER] and phone [PHONE_NUMBER] are already in our system since yesterday. The HR manager is asking me why [CANDIDATE_NAME] is still pending. Please send LKR'1,750'now to [COMPANY_EMAIL] so I can close your file. Otherwise I have to remove you and take the next candidate. After all the time we spent on your interview, don't do this.",1,0,0,1,1,1,"sunk_cost,social_proof",extraction,WhatsApp,4
17,recruiter,"Please, [CANDIDATE_NAME]. I have your offer letter from [COMPANY_NAME] ready to sign on my desk. Your name and NIC [NIC_NUMBER] have already been printed on it. The CEO just requested the final headcount. Using [PHONE_NUMBER] on Koko, pay the LKR 2,250 registration cost. Just for you, I'm staying up late. Once you've passed everything, don't waste either of our time.",1,1,0,1,0,1,"sunk_cost,urgency",extraction,WhatsApp,5
