company_name,website_url,label,website_alive,valid_website,has_about,has_contact,subdomain_count,domain_length,content_length,scam_score,has_https,domain_age_days,has_privacy_policy,has_terms,has_payment_risk,has_urgency_language,content_score,is_registered,review_score,review_count,has_glassdoor,has_indeed,has_trustpilot,has_negative_reviews,has_positive_reviews,email_type_encoded,has_suspicious_tld,is_http_only,trust_score,suspicion_score
ABANS ELECTRICALS PLC,https://abansgroup.com,1,1,1,1,1,1,14,1628,0,1,60.0,0,0,0,0,0.0,1,0.5,0,0,0,0,0,0,1,0,0,5,0
ABANS FINANCE PLC,https://abansfinance.lk,1,1,1,1,1,1,15,2517,0,1,60.0,0,0,0,0,1.08,1,0.23,5,0,0,0,1,0,2,0,0,5,1
ACCESS ENGINEERING PLC,,1,0,0,1,1,3,15,9872,0,0,60.0,0,0,0,0,0.0,0,0.21,20,1,0,0,1,0,1,0,1,3,2
ACL CABLES PLC,https://www.acl.lk,1,1,1,0,1,2,10,28226,0,1,60.0,0,1,0,0,21.87,1,0.5,15,0,0,0,0,0,2,0,0,5,0
ACL PLASTICS PLC,https://acl.lk,1,0,1,0,1,1,6,28226,0,1,60.0,0,1,0,0,21.87,1,0.75,10,0,0,0,0,0,2,0,0,5,0
ACME PRINTING & PACKAGING PLC,,1,0,0,0,0,3,27,49,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,0,1
AGALAWATTE  PLANTATIONS  PLC,https://agalawatte.com,1,1,1,0,1,1,14,1996,0,1,60.0,0,0,0,0,7.77,1,0.05,10,0,0,0,1,1,1,0,0,5,1
Agarapatana Plantations PLC,https://lankemplantations.lk,1,1,1,0,1,1,20,2365,0,1,60.0,0,0,0,0,24.71,1,0.45,10,0,0,0,1,1,1,0,0,5,1
AGSTAR PLC,https://agstaragri.lk,1,1,1,1,1,1,13,9586,0,1,60.0,0,0,0,0,29.74,1,0.5,0,0,0,0,0,0,2,0,0,5,0
AITKEN SPENCE HOTEL HOLDINGS PLC,https://www.aitkenspencehotels.com,1,0,1,0,0,2,26,276,0,1,60.0,1,1,0,0,0.0,1,0.5,0,0,0,0,0,0,2,0,0,4,0
AITKEN SPENCE PLC,https://aitkenspence.com,1,1,1,1,1,1,16,3216,0,1,60.0,1,0,0,0,0.0,1,0.21,10,0,0,0,1,0,2,0,0,6,1
