company_name,website_url,label,website_alive,valid_website,has_about,has_contact,subdomain_count,domain_length,content_length,scam_score,has_https,domain_age_days,has_privacy_policy,has_terms,has_payment_risk,has_urgency_language,content_score,is_registered,review_score,review_count,has_glassdoor,has_indeed,has_trustpilot,has_negative_reviews,has_positive_reviews,email_type_encoded,has_suspicious_tld,is_http_only,trust_score,suspicion_score
Sampath Bank PLC,https://www.sampath.lk,1,0,1,0,1,2,14,22244,0,1,60.0,0,1,0,0,0.0,1,0.5,1,0,0,0,0,0,2,0,0,4,0
Mega Typing Consultants,https://www.mega-typing-consultant.org,0,1,1,1,0,2,30,3237,4,0,38.0,0,1,1,1,18.54,1,0.0,0,0,0,0,0,0,1,1,1,1,2
jacobs,https://www.marcjacobs.com,1,1,1,1,0,2,18,8899,0,1,60.0,1,0,0,1,38.26,1,0.05,20,0,0,0,1,0,2,0,0,5,2
Notion,https://www.notion.com,1,1,1,1,1,2,14,4161,0,1,60.0,0,0,0,0,23.1,1,0.5,0,0,0,0,0,0,1,0,0,5,0
Finance Pvt Ltd Online,https://www.finance-pvt-ltd-online.org,0,1,1,0,1,1,30,3225,5,0,44.0,1,1,1,0,12.03,0,0.24,1,0,0,0,1,0,1,1,1,2,3
motorola,https://www.motorola.com,1,0,1,0,0,2,16,267,0,1,60.0,0,0,0,0,0.0,1,0.05,15,0,0,1,1,1,1,0,0,4,1
Access Engineering PLC,https://www.accessengsl.com,1,0,1,0,0,2,19,0,0,1,60.0,0,0,0,0,0.0,1,0.21,10,0,0,1,1,0,1,0,0,3,1
bbc,https://www.bbc.com,1,1,1,1,1,2,11,14831,0,1,60.0,1,1,0,1,3.28,1,0.0,5,0,0,0,1,1,1,0,0,8,2
bny mellon,https://www.dotnetspider.com,1,0,1,0,0,2,20,0,0,1,60.0,0,0,0,0,0.0,1,0.23,5,0,0,0,1,0,1,0,0,2,1
Co-operative Insurance Company PLC,,1,0,0,0,1,2,23,15180,0,0,60.0,0,0,0,0,0.0,0,0.5,15,0,0,0,0,0,1,0,1,1,1
schlumberger,https://marussiabeverages.com,1,0,1,0,1,1,21,2030,0,1,60.0,0,0,0,0,30.69,1,0.5,15,0,0,0,0,0,1,0,0,3,0
Instant Reward Payment Lanka,https://www.instant-reward-payment.online,0,1,1,1,1,2,33,2255,1,1,42.0,1,1,1,1,21.07,0,0.1,1,0,0,0,1,0,2,1,0,2,3
Diamond Health Group,http://www.diamond-health-group.club,0,1,1,0,1,1,29,2092,2,1,146.0,0,1,0,0,16.58,0,0.0,0,0,0,0,0,0,2,1,0,1,5
aig,https://www.aig.com,1,1,1,1,1,2,11,19945,0,1,60.0,0,1,0,0,0.0,1,0.5,0,0,0,0,0,0,1,0,0,6,0
Lucky Import Global,http://www.lucky-import-global.xyz,0,1,1,1,0,2,27,2584,4,1,18.0,1,1,0,1,10.98,1,0.29,1,0,0,0,1,0,2,1,0,2,3
C I C HOLDINGS PLC,https://www.cic.lk,1,1,1,0,0,2,10,491,0,1,60.0,1,0,0,0,0.0,1,0.5,10,0,0,0,0,0,2,0,0,4,0
TEEJAY LANKA PLC,https://www.tess.lk,1,1,1,1,0,2,11,8676,0,1,60.0,0,0,0,0,25.43,1,0.5,5,0,0,0,0,0,0,0,0,4,0
HATTON PLANTATIONS PLC,https://hattonplantations.lk,1,1,1,0,1,1,20,2127,0,1,60.0,0,0,0,0,16.85,1,0.5,0,0,0,0,0,0,1,0,0,4,0
private,,1,0,0,0,0,2,14,52,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,0,1
Part Time Global Guaranteed,https://www.part-time-global-guara.info,0,1,1,1,1,1,31,2880,5,0,124.0,1,1,1,0,13.31,0,0.0,0,0,0,0,0,0,2,1,1,1,3
COLOMBO DOCKYARD PLC,https://www.eurasiareview.com,1,0,1,0,0,2,21,58,0,1,60.0,0,0,0,0,44.15,1,0.23,5,0,0,0,1,0,1,0,0,2,1
CAL FIVE YEAR CLOSED END FUND,,1,0,0,1,0,2,18,28160,0,0,60.0,0,0,0,0,0.0,0,0.5,0,0,0,0,0,0,1,0,1,1,1
bank of america,https://www.bankofamerica.com,1,1,1,0,1,2,21,4411,0,1,60.0,0,0,0,0,56.74,1,0.17,10,0,0,0,1,0,2,0,0,4,1
Earning Telegram Income,https://www.earning-telegram-incom.site,0,1,1,0,1,2,31,1643,4,1,19.0,0,0,1,1,5.05,0,0.3,2,0,0,0,1,0,1,0,0,1,4
Earn Media Daily,https://www.earn-media-daily.io,0,1,1,1,0,1,23,3100,4,1,132.0,0,0,1,0,18.88,0,0.0,0,0,0,0,0,1,1,1,0,2,3
